maxVehicles = 3;
capacity = 100;
depotx = 0.0;
depoty = 0.0;
horizon = 120;
custNode = {
    <0, -31.5278, -68.5262, 10, 480, 540, 90>,
    <1, -31.5401, -68.5132, 30, 420, 480, 90>,
    <2, -31.55, -68.5, 10, 600, 660, 90>,
    <3, -31.51, -68.49, 10, 300, 360, 90>,
    <4, -31.52, -68.53, 10, 800, 900, 90>,
    <5, -31.5333, -68.535, 20, 100, 160, 90>,
    <6, -31.5412, -68.55, 20, 540, 600, 90>,
    <7, -31.52, -68.52, 20, 660, 720, 90>,
    <8, -31.51, -68.53, 10, 480, 540, 90>,
    <9, -31.54, -68.535, 10, 380, 440, 90>,
    <10, -31.545, -68.54, 10, 540, 600, 90>,
    <11, -31.523, -68.532, 20, 600, 660, 90>,
    <12, -31.538, -68.515, 30, 200, 260, 90>,
    <13, -31.53, -68.528, 10, 660, 720, 90>,
    <14, -31.532, -68.522, 40, 300, 360, 90>,
    <15, -31.534, -68.518, 40, 720, 780, 90>,
};
